ORF	Name	Length	Number	Peak	Start	End
YGL008C	PMA1	918	6	492	490	494
YGL008C	PMA1	918	6	540	533	540
YGL008C	PMA1	918	6	609	605	612
YGL008C	PMA1	918	6	666	654	673
YGL008C	PMA1	918	6	745	743	747
YGL008C	PMA1	918	6	862	860	864
YGL009C	LEU1	779	5	122	121	127
YGL009C	LEU1	779	5	147	146	152
YGL009C	LEU1	779	5	164	164	168
YGL009C	LEU1	779	5	459	456	460
YGL009C	LEU1	779	5	511	507	520
YGL011C	SCL1	252	1	214	213	218
YGL014W	PUF4	888	4	442	440	445
YGL014W	PUF4	888	4	448	447	451
YGL014W	PUF4	888	4	674	672	676
YGL014W	PUF4	888	4	789	783	789
YGL026C	TRP5	707	3	85	81	85
YGL026C	TRP5	707	3	155	154	158
YGL026C	TRP5	707	3	488	483	495
YGL028C	SCW11	542	2	83	81	85
YGL028C	SCW11	542	2	161	156	162
YGL030W	RPL30	105	2	50	46	50
YGL030W	RPL30	105	2	81	77	84
YGL031C	RPL24A	155	2	79	76	83
YGL031C	RPL24A	155	2	154	150	155
YGL035C	MIG1	504	1	501	496	501
YGL037C	PNC1	216	1	173	171	176
YGL038C	OCH1	480	1	91	91	96
YGL039W		348	1	211	210	214
YGL040C	HEM2	342	1	238	237	241
YGL043W	DST1	309	1	240	237	242
YGL048C	RPT6	405	2	232	227	234
YGL048C	RPT6	405	2	242	241	245
YGL056C	SDS23	527	1	458	456	460
YGL058W	RAD6	172	1	119	117	121
YGL062W	PYC1	1178	2	266	264	268
YGL062W	PYC1	1178	2	417	413	417
YGL065C	ALG2	503	1	468	465	469
YGL066W	SGF73	657	1	482	482	488
YGL067W	NPY1	384	1	295	291	295
YGL068W	MNP1	194	1	91	91	95
YGL076C	RPL7A	244	2	97	95	100
YGL076C	RPL7A	244	2	137	136	142
YGL078C	DBP3	523	1	194	191	195
YGL092W	NUP145	1317	2	365	361	365
YGL092W	NUP145	1317	2	390	386	390
YGL099W	LSG1	640	2	331	327	333
YGL099W	LSG1	640	2	501	500	505
YGL105W	ARC1	376	3	137	136	142
YGL105W	ARC1	376	3	226	224	229
YGL105W	ARC1	376	3	373	372	376
YGL106W	MLC1	149	1	41	38	43
YGL120C	PRP43	767	4	150	147	152
YGL120C	PRP43	767	4	488	484	488
YGL120C	PRP43	767	4	619	613	619
YGL120C	PRP43	767	4	724	722	726
YGL123W	RPS2	254	3	169	163	171
YGL123W	RPS2	254	3	215	212	218
YGL123W	RPS2	254	3	236	232	239
YGL130W	CEG1	459	1	237	237	241
YGL133W	ITC1	1264	1	143	142	146
YGL137W	SEC27	889	5	102	101	107
YGL137W	SEC27	889	5	159	159	164
YGL137W	SEC27	889	5	196	194	199
YGL137W	SEC27	889	5	447	443	447
YGL137W	SEC27	889	5	772	768	774
YGL147C	RPL9A	191	1	71	64	71
YGL148W	ARO2	376	3	78	76	81
YGL148W	ARO2	376	3	106	101	107
YGL148W	ARO2	376	3	344	341	347
YGL157W	ARI1	347	1	85	83	91
YGL167C	PMR1	950	1	561	558	562
YGL173C	XRN1	1528	4	889	887	895
YGL173C	XRN1	1528	4	1085	1081	1085
YGL173C	XRN1	1528	4	1374	1373	1377
YGL173C	XRN1	1528	4	1447	1444	1450
YGL178W	MPT5	859	1	103	96	105
YGL187C	COX4	155	1	136	130	136
YGL189C	RPS26A	119	2	99	97	102
YGL189C	RPS26A	119	2	111	110	115
YGL191W	COX13	129	1	94	93	97
YGL195W	GCN1	2672	3	846	839	847
YGL195W	GCN1	2672	3	2245	2239	2247
YGL195W	GCN1	2672	3	2331	2328	2333
YGL202W	ARO8	500	4	181	179	187
YGL202W	ARO8	500	4	286	282	288
YGL202W	ARO8	500	4	308	305	309
YGL202W	ARO8	500	4	368	363	368
YGL206C	CHC1	1653	2	411	410	415
YGL206C	CHC1	1653	2	585	579	586
YGL207W	SPT16	1035	3	338	332	339
YGL207W	SPT16	1035	3	463	460	467
YGL207W	SPT16	1035	3	705	705	709
YGL210W	YPT32	222	1	123	121	125
YGL213C	SKI8	397	1	277	272	281
YGL222C	EDC1	175	1	86	83	90
YGL231C	EMC4	190	1	110	107	114
YGL234W	ADE5	802	5	103	99	104
YGL234W	ADE5	802	5	217	215	221
YGL234W	ADE5	802	5	534	532	536
YGL234W	ADE5	802	5	719	711	720
YGL234W	ADE5	802	5	732	727	732
YGL238W	CSE1	960	1	720	717	722
YGL245W	GUS1	708	4	163	159	163
YGL245W	GUS1	708	4	370	368	375
YGL245W	GUS1	708	4	399	394	402
YGL245W	GUS1	708	4	512	512	518
YGL253W	HXK2	486	4	233	231	236
YGL253W	HXK2	486	4	262	260	265
YGL253W	HXK2	486	4	449	444	462
YGL253W	HXK2	486	4	466	464	472
YGR002C	SWC4	476	1	357	353	358
YGR012W		393	1	296	292	296
YGR014W	MSB2	1306	2	118	114	122
YGR014W	MSB2	1306	2	133	126	134
YGR017W		297	1	224	221	226
YGR019W	UGA1	471	2	101	96	106
YGR019W	UGA1	471	2	259	258	262
YGR020C	VMA7	118	1	101	99	105
YGR033C	TIM21	239	1	70	70	74
YGR034W	RPL26B	127	1	104	101	105
YGR036C	CAX4	239	1	213	213	217
YGR049W	SCM4	187	1	91	86	92
YGR054W		642	6	173	167	175
YGR054W		642	6	189	188	196
YGR054W		642	6	293	290	296
YGR054W		642	6	345	339	347
YGR054W		642	6	453	453	460
YGR054W		642	6	578	577	581
YGR058W	PEF1	335	1	133	129	133
YGR061C	ADE6	1358	2	715	714	718
YGR061C	ADE6	1358	2	750	748	756
YGR063C	SPT4	102	1	99	95	101
YGR068C	ART5	586	1	240	238	244
YGR078C	PAC10	199	1	137	134	138
YGR079W		370	1	285	281	293
YGR080W	TWF1	332	1	221	221	230
YGR082W	TOM20	183	1	82	80	86
YGR083C	GCD2	651	3	183	181	185
YGR083C	GCD2	651	3	196	194	199
YGR083C	GCD2	651	3	360	355	364
YGR084C	MRP13	339	1	94	93	97
YGR085C	RPL11B	174	1	170	164	170
YGR086C	PIL1	339	1	239	236	241
YGR090W	UTP22	1237	1	633	631	636
YGR094W	VAS1	1104	5	197	193	197
YGR094W	VAS1	1104	5	292	289	293
YGR094W	VAS1	1104	5	350	349	354
YGR094W	VAS1	1104	5	439	437	443
YGR094W	VAS1	1104	5	614	611	616
YGR106C	VOA1	265	1	124	123	127
YGR116W	SPT6	1451	2	534	532	536
YGR116W	SPT6	1451	2	820	816	820
YGR119C	NUP57	541	1	347	344	349
YGR124W	ASN2	572	3	179	174	182
YGR124W	ASN2	572	3	205	203	207
YGR124W	ASN2	572	3	485	484	488
YGR128C	UTP8	713	1	704	702	706
YGR130C		816	1	194	193	198
YGR135W	PRE9	258	1	217	213	219
YGR136W	LSB1	241	1	138	132	139
YGR148C	RPL24B	155	3	87	84	88
YGR148C	RPL24B	155	3	131	130	135
YGR148C	RPL24B	155	3	154	150	156
YGR155W	CYS4	507	2	128	127	133
YGR155W	CYS4	507	2	287	281	297
YGR159C	NSR1	414	1	352	350	358
YGR162W	TIF4631	952	3	188	183	192
YGR162W	TIF4631	952	3	262	259	267
YGR162W	TIF4631	952	3	368	366	370
YGR167W	CLC1	233	1	106	104	108
YGR175C	ERG1	496	4	107	103	110
YGR175C	ERG1	496	4	211	207	211
YGR175C	ERG1	496	4	334	333	337
YGR175C	ERG1	496	4	350	348	355
YGR178C	PBP1	722	3	355	352	356
YGR178C	PBP1	722	3	511	507	512
YGR178C	PBP1	722	3	613	610	614
YGR180C	RNR4	345	2	308	306	313
YGR180C	RNR4	345	2	333	332	337
YGR184C	UBR1	1950	1	300	297	302
YGR185C	TYS1	394	2	320	316	321
YGR185C	TYS1	394	2	332	331	335
YGR186W	TFG1	735	1	232	227	236
YGR189C	CRH1	507	1	334	328	334
YGR191W	HIP1	603	2	304	303	307
YGR191W	HIP1	603	2	360	358	362
YGR192C	TDH3	332	4	93	85	94
YGR192C	TDH3	332	4	209	204	211
YGR192C	TDH3	332	4	237	235	239
YGR192C	TDH3	332	4	294	291	300
YGR193C	PDX1	410	1	272	271	278
YGR200C	ELP2	788	3	119	115	119
YGR200C	ELP2	788	3	300	299	303
YGR200C	ELP2	788	3	495	493	498
YGR204W	ADE3	946	9	164	160	164
YGR204W	ADE3	946	9	240	239	243
YGR204W	ADE3	946	9	308	307	311
YGR204W	ADE3	946	9	414	412	421
YGR204W	ADE3	946	9	463	461	466
YGR204W	ADE3	946	9	558	550	559
YGR204W	ADE3	946	9	642	638	646
YGR204W	ADE3	946	9	704	700	704
YGR204W	ADE3	946	9	764	761	769
YGR207C	CIR1	261	1	73	70	75
YGR211W	ZPR1	486	1	461	454	461
YGR214W	RPS0A	252	3	128	125	130
YGR214W	RPS0A	252	3	144	138	146
YGR214W	RPS0A	252	3	159	154	162
YGR218W	CRM1	1084	2	293	291	298
YGR218W	CRM1	1084	2	878	878	882
YGR229C	SMI1	505	1	378	375	380
YGR231C	PHB2	310	1	146	143	154
YGR234W	YHB1	399	3	134	131	138
YGR234W	YHB1	399	3	216	214	218
YGR234W	YHB1	399	3	358	354	358
YGR235C	MIC26	233	1	117	116	120
YGR240C	PFK1	987	7	181	178	182
YGR240C	PFK1	987	7	344	339	345
YGR240C	PFK1	987	7	387	383	393
YGR240C	PFK1	987	7	607	602	617
YGR240C	PFK1	987	7	859	856	860
YGR240C	PFK1	987	7	927	924	928
YGR240C	PFK1	987	7	936	932	938
YGR244C	LSC2	427	3	361	360	364
YGR244C	LSC2	427	3	369	367	371
YGR244C	LSC2	427	3	380	378	382
YGR253C	PUP2	260	1	142	139	143
YGR254W	ENO1	437	3	126	121	127
YGR254W	ENO1	437	3	237	237	243
YGR254W	ENO1	437	3	324	324	328
YGR264C	MES1	751	3	291	288	294
YGR264C	MES1	751	3	458	457	463
YGR264C	MES1	751	3	666	664	668
YGR266W		701	1	548	546	552
YGR270W	YTA7	1379	1	528	522	529
YGR276C	RNH70	553	1	150	146	150
YGR277C	CAB4	305	1	297	292	297
YGR279C	SCW4	386	3	86	65	88
YGR279C	SCW4	386	3	95	92	105
YGR279C	SCW4	386	3	115	111	118
YGR282C	BGL2	313	3	63	62	69
YGR282C	BGL2	313	3	75	74	78
YGR282C	BGL2	313	3	196	192	197
YGR284C	ERV29	310	1	127	121	130
YGR285C	ZUO1	433	5	155	150	155
YGR285C	ZUO1	433	5	168	161	168
YGR285C	ZUO1	433	5	173	171	176
YGR285C	ZUO1	433	5	188	187	192
YGR285C	ZUO1	433	5	282	281	287
YHL001W	RPL14B	138	1	88	85	93
YHL004W	MRP4	394	1	178	175	182
YHL013C	OTU2	307	1	261	260	264
YHL015W	RPS20	121	1	113	111	116
YHL027W	RIM101	625	1	120	115	122
YHL030W	ECM29	1868	1	528	522	530
YHL031C	GOS1	223	1	79	76	80
YHL033C	RPL8A	256	2	115	112	119
YHL033C	RPL8A	256	2	197	193	200
YHL034C	SBP1	294	2	150	147	151
YHL034C	SBP1	294	2	164	161	167
YHR003C	TCD1	429	1	168	166	170
YHR005C	GPA1	472	1	446	444	448
YHR007C	ERG11	530	2	322	320	325
YHR007C	ERG11	530	2	515	513	517
YHR008C	SOD2	233	2	81	80	88
YHR008C	SOD2	233	2	129	126	130
YHR009C	TDA3	523	1	518	517	522
YHR010W	RPL27A	136	1	65	63	70
YHR013C	ARD1	238	2	106	102	108
YHR013C	ARD1	238	2	205	204	209
YHR016C	YSC84	468	1	208	202	210
YHR018C	ARG4	463	1	445	444	448
YHR019C	DED81	554	5	201	198	202
YHR019C	DED81	554	5	217	215	220
YHR019C	DED81	554	5	303	302	308
YHR019C	DED81	554	5	380	377	381
YHR019C	DED81	554	5	465	461	467
YHR020W		688	3	83	83	91
YHR020W		688	3	349	347	352
YHR020W		688	3	574	569	576
YHR025W	THR1	357	5	97	93	97
YHR025W	THR1	357	5	102	99	104
YHR025W	THR1	357	5	198	196	200
YHR025W	THR1	357	5	262	258	269
YHR025W	THR1	357	5	288	285	289
YHR027C	RPN1	993	2	91	84	91
YHR027C	RPN1	993	2	256	251	263
YHR031C	RRM3	723	1	634	630	636
YHR037W	PUT2	575	1	85	85	89
YHR039C	MSC7	644	1	81	80	87
YHR041C	SRB2	210	1	93	89	94
YHR042W	NCP1	691	6	330	327	331
YHR042W	NCP1	691	6	343	336	349
YHR042W	NCP1	691	6	381	375	383
YHR042W	NCP1	691	6	439	435	440
YHR042W	NCP1	691	6	505	499	509
YHR042W	NCP1	691	6	534	530	538
YHR051W	COX6	148	1	86	82	89
YHR052W	CIC1	376	1	292	286	292
YHR057C	CPR2	205	1	127	127	131
YHR062C	RPP1	293	2	140	134	141
YHR062C	RPP1	293	2	233	231	236
YHR063C	PAN5	379	1	76	75	80
YHR064C	SSZ1	538	3	159	155	159
YHR064C	SSZ1	538	3	186	183	187
YHR064C	SSZ1	538	3	312	306	319
YHR068W	DYS1	387	1	291	288	294
YHR070W	TRM5	499	2	116	114	118
YHR070W	TRM5	499	2	439	438	443
YHR072W	ERG7	731	1	214	214	218
YHR074W	QNS1	714	1	187	182	188
YHR082C	KSP1	1029	1	971	970	974
YHR083W	SAM35	329	1	128	124	129
YHR094C	HXT1	570	2	103	102	106
YHR094C	HXT1	570	2	395	393	397
YHR098C	SFB3	929	3	810	806	812
YHR098C	SFB3	929	3	821	819	823
YHR098C	SFB3	929	3	913	913	920
YHR102W	KIC1	1080	1	762	759	763
YHR103W	SBE22	852	1	499	499	503
YHR104W	GRE3	327	1	221	219	224
YHR107C	CDC12	407	1	303	298	303
YHR108W	GGA2	585	2	119	117	121
YHR108W	GGA2	585	2	572	567	576
YHR111W	UBA4	440	1	218	215	219
YHR113W	APE4	490	1	104	100	104
YHR115C	DMA1	416	1	93	87	98
YHR123W	EPT1	391	1	80	76	82
YHR128W	FUR1	216	1	140	138	145
YHR136C	SPL2	148	1	122	119	124
YHR137W	ARO9	513	2	169	167	172
YHR137W	ARO9	513	2	252	250	254
YHR143W	DSE2	325	2	145	138	148
YHR143W	DSE2	325	2	170	166	170
YHR146W	CRP1	465	1	100	100	107
YHR154W	RTT107	1070	1	174	170	174
YHR158C	KEL1	1164	1	477	477	481
YHR162W	MPC2	129	2	57	56	60
YHR162W	MPC2	129	2	118	114	122
YHR165C	PRP8	2413	1	424	421	425
YHR169W	DBP8	431	1	82	78	82
YHR170W	NMD3	518	2	146	143	148
YHR170W	NMD3	518	2	516	512	518
YHR174W	ENO2	437	3	74	73	79
YHR174W	ENO2	437	3	126	122	128
YHR174W	ENO2	437	3	332	326	334
YHR179W	OYE2	400	3	139	136	141
YHR179W	OYE2	400	3	222	220	230
YHR179W	OYE2	400	3	289	288	296
YHR183W	GND1	489	2	128	124	128
YHR183W	GND1	489	2	354	354	358
YHR188C	GPI16	610	2	308	306	310
YHR188C	GPI16	610	2	375	371	375
YHR193C	EGD2	174	1	99	95	105
YHR200W	RPN10	268	1	175	172	182
YHR205W	SCH9	824	2	349	349	355
YHR205W	SCH9	824	2	723	720	728
YHR206W	SKN7	622	1	546	546	550
YHR208W	BAT1	393	3	107	104	110
YHR208W	BAT1	393	3	119	118	127
YHR208W	BAT1	393	3	230	227	231
YHR216W	IMD2	523	1	190	186	191
YIL016W	SNL1	159	1	67	65	69
YIL018W	RPL2B	254	3	86	80	87
YIL018W	RPL2B	254	3	126	126	130
YIL018W	RPL2B	254	3	228	227	232
YIL021W	RPB3	318	1	295	294	299
YIL022W	TIM44	431	2	326	326	331
YIL022W	TIM44	431	2	408	405	409
YIL033C	BCY1	416	1	136	131	138
YIL036W	CST6	587	1	218	218	222
YIL038C	NOT3	836	1	439	435	442
YIL041W	GVP36	326	1	129	124	136
YIL043C	CBR1	284	1	171	170	177
YIL044C	AGE2	298	1	139	139	143
YIL051C	MMF1	145	1	115	114	121
YIL052C	RPL34B	121	1	67	64	71
YIL053W	GPP1	250	2	148	146	153
YIL053W	GPP1	250	2	192	186	194
YIL062C	ARC15	154	1	82	81	85
YIL069C	RPS24B	135	1	69	64	73
YIL074C	SER33	469	1	101	100	107
YIL075C	RPN2	945	1	931	928	935
YIL076W	SEC28	296	1	124	124	128
YIL078W	THS1	734	2	202	200	204
YIL078W	THS1	734	2	520	518	523
YIL083C	CAB2	365	1	261	258	262
YIL088C	AVT7	490	1	82	79	85
YIL094C	LYS12	371	1	318	316	320
YIL096C	BMT5	336	1	241	236	241
YIL108W		696	3	90	89	94
YIL108W		696	3	226	222	226
YIL108W		696	3	581	581	585
YIL109C	SEC24	926	4	217	217	222
YIL109C	SEC24	926	4	306	301	308
YIL109C	SEC24	926	4	428	423	430
YIL109C	SEC24	926	4	735	731	739
YIL114C	POR2	281	1	281	276	281
YIL115C	NUP159	1460	1	546	544	549
YIL116W	HIS5	385	1	268	260	268
YIL123W	SIM1	476	3	56	52	70
YIL123W	SIM1	476	3	86	77	97
YIL123W	SIM1	476	3	126	122	129
YIL124W	AYR1	297	1	163	162	167
YIL125W	KGD1	1014	1	586	581	586
YIL126W	STH1	1359	1	525	519	525
YIL130W	ASG1	964	1	430	430	434
YIL131C	FKH1	484	1	445	443	448
YIL133C	RPL16A	199	2	75	71	80
YIL133C	RPL16A	199	2	184	182	188
YIL135C	VHS2	436	1	251	249	259
YIL137C	TMA108	946	1	308	305	310
YIL143C	SSL2	843	1	443	437	444
YIL145C	PAN6	309	1	64	63	67
YIL148W	RPL40A	128	1	106	103	107
YIL154C	IMP2'	346	1	312	306	314
YIL157C	COA1	197	1	103	96	104
YIR006C	PAN1	1480	5	677	675	683
YIR006C	PAN1	1480	5	988	988	1000
YIR006C	PAN1	1480	5	1308	1306	1329
YIR006C	PAN1	1480	5	1364	1359	1366
YIR006C	PAN1	1480	5	1405	1401	1407
YIR034C	LYS1	373	1	236	233	237
YIR036C	IRC24	263	1	226	223	227
YIR037W	HYR1	163	1	67	62	69
YJL001W	PRE3	215	1	96	90	102
YJL008C	CCT8	568	2	70	66	71
YJL008C	CCT8	568	2	456	456	464
YJL010C	NOP9	666	1	154	151	157
YJL012C	VTC4	721	2	547	545	549
YJL012C	VTC4	721	2	672	666	673
YJL014W	CCT3	534	1	471	468	474
YJL020C	BBC1	1157	4	135	131	136
YJL020C	BBC1	1157	4	208	206	210
YJL020C	BBC1	1157	4	716	713	719
YJL020C	BBC1	1157	4	824	824	830
YJL026W	RNR2	399	3	206	204	208
YJL026W	RNR2	399	3	248	245	249
YJL026W	RNR2	399	3	358	358	362
YJL034W	KAR2	682	3	111	107	112
YJL034W	KAR2	682	3	203	201	207
YJL034W	KAR2	682	3	322	321	328
YJL042W	MHP1	1398	2	403	403	409
YJL042W	MHP1	1398	2	637	633	637
YJL052W	TDH1	332	1	293	291	296
YJL053W	PEP8	379	1	190	190	195
YJL061W	NUP82	713	1	291	288	295
YJL062W-A	COA3	85	1	66	62	69
YJL068C		299	2	117	116	120
YJL068C		299	2	190	188	193
YJL069C	UTP18	594	1	501	501	514
YJL076W	NET1	1189	2	253	247	256
YJL076W	NET1	1189	2	678	673	678
YJL078C	PRY3	881	3	145	142	148
YJL078C	PRY3	881	3	167	166	174
YJL078C	PRY3	881	3	220	219	227
YJL079C	PRY1	299	3	74	70	83
YJL079C	PRY1	299	3	127	125	137
YJL079C	PRY1	299	3	140	139	144
YJL080C	SCP160	1222	6	357	354	359
YJL080C	SCP160	1222	6	369	368	374
YJL080C	SCP160	1222	6	383	381	385
YJL080C	SCP160	1222	6	479	475	481
YJL080C	SCP160	1222	6	658	652	659
YJL080C	SCP160	1222	6	960	958	962
YJL098W	SAP185	1058	1	244	242	247
YJL109C	UTP10	1769	1	1732	1728	1732
YJL111W	CCT7	550	2	77	77	81
YJL111W	CCT7	550	2	90	89	97
YJL121C	RPE1	238	1	179	176	181
YJL122W	ALB1	175	1	165	164	172
YJL128C	PBS2	668	2	195	195	199
YJL128C	PBS2	668	2	236	235	239
YJL130C	URA2	2214	8	291	290	294
YJL130C	URA2	2214	8	314	311	315
YJL130C	URA2	2214	8	386	385	392
YJL130C	URA2	2214	8	958	955	962
YJL130C	URA2	2214	8	1525	1523	1527
YJL130C	URA2	2214	8	1720	1718	1723
YJL130C	URA2	2214	8	1899	1894	1899
YJL130C	URA2	2214	8	1963	1960	1964
YJL143W	TIM17	158	2	118	117	121
YJL143W	TIM17	158	2	155	144	155
YJL145W	SFH5	294	1	113	113	119
YJL157C	FAR1	830	6	572	568	572
YJL157C	FAR1	830	6	590	589	593
YJL157C	FAR1	830	6	607	603	608
YJL157C	FAR1	830	6	746	746	752
YJL157C	FAR1	830	6	803	802	806
YJL157C	FAR1	830	6	827	823	830
YJL158C	CIS3	227	3	82	81	85
YJL158C	CIS3	227	3	103	89	105
YJL158C	CIS3	227	3	171	168	172
YJL159W	HSP150	413	6	88	83	91
YJL159W	HSP150	413	6	98	94	101
YJL159W	HSP150	413	6	139	130	144
YJL159W	HSP150	413	6	227	222	229
YJL159W	HSP150	413	6	243	241	245
YJL159W	HSP150	413	6	304	303	312
YJL165C	HAL5	855	1	597	594	598
YJL167W	ERG20	352	2	159	158	162
YJL167W	ERG20	352	2	247	244	251
YJL171C		396	1	138	135	139
YJL176C	SWI3	825	1	411	407	411
YJL177W	RPL17B	184	2	99	98	103
YJL177W	RPL17B	184	2	161	161	165
YJL183W	MNN11	422	1	65	63	67
YJL190C	RPS22A	130	1	78	74	80
YJL191W	RPS14B	138	1	125	119	128
YJL196C	ELO1	310	1	66	59	67
YJL198W	PHO90	881	1	100	96	103
YJL200C	ACO2	789	1	415	409	417
YJR001W	AVT1	602	1	168	164	168
YJR002W	MPP10	593	1	91	86	93
YJR007W	SUI2	304	2	228	226	231
YJR007W	SUI2	304	2	272	269	273
YJR009C	TDH2	332	2	179	178	182
YJR009C	TDH2	332	2	294	292	301
YJR015W		510	1	262	262	266
YJR016C	ILV3	585	6	102	100	104
YJR016C	ILV3	585	6	245	243	249
YJR016C	ILV3	585	6	298	295	299
YJR016C	ILV3	585	6	397	394	401
YJR016C	ILV3	585	6	477	476	480
YJR016C	ILV3	585	6	514	513	517
YJR017C	ESS1	170	1	111	108	116
YJR019C	TES1	349	1	266	257	269
YJR032W	CPR7	393	1	202	202	208
YJR045C	SSC1	654	4	94	90	95
YJR045C	SSC1	654	4	304	301	305
YJR045C	SSC1	654	4	332	331	335
YJR045C	SSC1	654	4	451	449	458
YJR059W	PTK2	818	1	734	734	738
YJR064W	CCT5	562	1	452	450	457
YJR065C	ARP3	449	2	328	325	330
YJR065C	ARP3	449	2	411	410	414
YJR068W	RFC2	353	1	183	179	187
YJR070C	LIA1	325	3	178	178	183
YJR070C	LIA1	325	3	190	189	193
YJR070C	LIA1	325	3	254	250	255
YJR072C	NPA3	385	2	131	128	133
YJR072C	NPA3	385	2	157	155	162
YJR076C	CDC11	415	1	110	108	112
YJR077C	MIR1	311	1	112	107	115
YJR083C	ACF4	309	1	188	188	192
YJR091C	JSN1	1091	2	131	128	133
YJR091C	JSN1	1091	2	527	527	534
YJR092W	BUD4	1447	1	741	739	743
YJR094W-A	RPL43B	92	1	80	74	81
YJR104C	SOD1	154	1	63	61	65
YJR105W	ADO1	340	4	170	168	173
YJR105W	ADO1	340	4	198	195	199
YJR105W	ADO1	340	4	229	227	231
YJR105W	ADO1	340	4	332	326	336
YJR109C	CPA2	1118	1	733	731	735
YJR121W	ATP2	511	6	93	92	96
YJR121W	ATP2	511	6	107	98	108
YJR121W	ATP2	511	6	114	111	115
YJR121W	ATP2	511	6	151	150	154
YJR121W	ATP2	511	6	189	189	194
YJR121W	ATP2	511	6	357	355	359
YJR123W	RPS5	225	1	155	155	162
YJR125C	ENT3	408	1	280	276	282
YJR132W	NMD5	1048	1	108	107	114
YJR139C	HOM6	359	1	242	239	246
YJR143C	PMT4	762	1	424	422	431
YJR145C	RPS4A	261	1	82	80	84
YJR148W	BAT2	376	1	214	208	214
YKL003C	MRP17	131	1	94	87	94
YKL006W	RPL14A	138	1	90	85	92
YKL007W	CAP1	268	1	135	133	138
YKL008C	LAC1	418	1	65	64	69
YKL013C	ARC19	171	1	53	46	53
YKL029C	MAE1	669	6	71	69	74
YKL029C	MAE1	669	6	84	77	87
YKL029C	MAE1	669	6	100	97	101
YKL029C	MAE1	669	6	275	273	279
YKL029C	MAE1	669	6	438	433	440
YKL029C	MAE1	669	6	557	556	560
YKL032C	IXR1	597	2	285	283	291
YKL032C	IXR1	597	2	436	433	438
YKL033W-A		236	1	201	200	205
YKL035W	UGP1	499	3	203	198	206
YKL035W	UGP1	499	3	250	246	252
YKL035W	UGP1	499	3	265	263	268
YKL042W	SPC42	363	1	326	323	328
YKL043W	PHD1	366	2	301	299	305
YKL043W	PHD1	366	2	311	307	311
YKL054C	DEF1	738	3	587	583	588
YKL054C	DEF1	738	3	680	676	680
YKL054C	DEF1	738	3	715	713	718
YKL056C	TMA19	167	1	72	68	75
YKL057C	NUP120	1037	1	322	322	327
YKL060C	FBA1	359	2	101	91	106
YKL060C	FBA1	359	2	220	211	222
YKL067W	YNK1	153	1	113	110	114
YKL068W	NUP100	959	1	650	649	653
YKL077W		392	1	149	146	151
YKL080W	VMA5	392	2	180	180	184
YKL080W	VMA5	392	2	336	332	338
YKL081W	TEF4	412	5	138	135	139
YKL081W	TEF4	412	5	161	159	167
YKL081W	TEF4	412	5	193	191	198
YKL081W	TEF4	412	5	215	213	219
YKL081W	TEF4	412	5	362	359	363
YKL085W	MDH1	334	2	95	94	100
YKL085W	MDH1	334	2	106	102	106
YKL096W	CWP1	239	2	163	156	166
YKL096W	CWP1	239	2	190	188	192
YKL096W-A	CWP2	92	1	45	40	45
YKL101W	HSL1	1518	1	700	697	703
YKL103C	APE1	514	1	208	200	214
YKL104C	GFA1	717	2	458	458	462
YKL104C	GFA1	717	2	613	611	616
YKL117W	SBA1	216	1	103	102	107
YKL120W	OAC1	324	1	242	238	244
YKL127W	PGM1	570	1	469	466	473
YKL135C	APL2	726	1	306	304	308
YKL142W	MRP8	219	1	208	206	211
YKL148C	SDH1	640	1	85	84	88
YKL150W	MCR1	302	1	263	263	270
YKL152C	GPM1	247	2	126	118	129
YKL152C	GPM1	247	2	232	231	243
YKL157W	APE2	952	3	224	222	228
YKL157W	APE2	952	3	329	325	330
YKL157W	APE2	952	3	414	411	415
YKL164C	PIR1	341	4	81	77	84
YKL164C	PIR1	341	4	117	114	122
YKL164C	PIR1	341	4	129	126	130
YKL164C	PIR1	341	4	163	160	165
YKL166C	TPK3	398	1	302	300	306
YKL180W	RPL17A	184	2	102	98	103
YKL180W	RPL17A	184	2	162	161	165
YKL181W	PRS1	427	2	151	149	153
YKL181W	PRS1	427	2	285	281	285
YKL182W	FAS1	2051	10	57	53	57
YKL182W	FAS1	2051	10	320	316	324
YKL182W	FAS1	2051	10	401	396	403
YKL182W	FAS1	2051	10	535	529	536
YKL182W	FAS1	2051	10	915	912	918
YKL182W	FAS1	2051	10	1060	1057	1061
YKL182W	FAS1	2051	10	1517	1515	1519
YKL182W	FAS1	2051	10	1660	1660	1664
YKL182W	FAS1	2051	10	1956	1952	1958
YKL182W	FAS1	2051	10	1977	1975	1979
YKL184W	SPE1	466	2	206	205	209
YKL184W	SPE1	466	2	391	386	393
YKL185W	ASH1	588	3	426	425	431
YKL185W	ASH1	588	3	469	463	471
YKL185W	ASH1	588	3	510	507	512
YKL186C	MTR2	184	1	152	150	154
YKL191W	DPH2	534	2	253	253	260
YKL191W	DPH2	534	2	309	308	312
YKL192C	ACP1	125	1	86	82	87
YKL193C	SDS22	338	1	264	262	266
YKL204W	EAP1	632	3	454	452	459
YKL204W	EAP1	632	3	482	479	489
YKL204W	EAP1	632	3	537	534	539
YKL205W	LOS1	1100	1	1043	1040	1044
YKL210W	UBA1	1024	3	261	258	264
YKL210W	UBA1	1024	3	603	594	607
YKL210W	UBA1	1024	3	615	609	617
