geneID,length,number_of_sites,order,site_start,site_end
YMR124W,29,5,1,186,215
YMR124W,61,5,2,2455,2516
YMR124W,16,5,3,2536,2552
YMR124W,17,5,4,2574,2591
YMR124W,40,5,5,2697,2737
YER032W,31,6,1,355,386
YER032W,19,6,2,1181,1200
YER032W,17,6,3,1211,1228
YER032W,29,6,4,1276,1305
YER032W,16,6,5,1693,1709
YER032W,31,6,6,1721,1752
YJR070C,17,2,1,228,245
YJR070C,32,2,2,750,782
YDL097C,30,1,1,908,938
YGL005C,21,2,1,526,547
YGL005C,18,2,2,607,625
YGR262C,30,4,1,308,338
YGR262C,18,4,2,368,386
YGR262C,32,4,3,421,453
YGR262C,38,4,4,639,677
YDL111C,43,3,1,307,350
YDL111C,27,3,2,537,564
YDL111C,34,3,3,599,633
YPL245W,25,1,1,1170,1195
YLR104W,43,1,1,349,392
YOR132W,30,5,1,552,582
YOR132W,32,5,2,572,604
YOR132W,18,5,3,623,641
YOR132W,19,5,4,739,758
YOR132W,24,5,5,1556,1580
YJL158C,20,2,1,295,315
YJL158C,41,2,2,544,585
YIL003W,34,2,1,444,478
YIL003W,35,2,2,798,833
YPR080W,35,9,1,349,384
YPR080W,37,9,2,386,423
YPR080W,29,9,3,660,689
YPR080W,17,9,4,691,708
YPR080W,32,9,5,857,889
YPR080W,69,9,6,984,1053
YPR080W,80,9,7,1083,1163
YPR080W,21,9,8,1172,1193
YPR080W,21,9,9,1299,1320
YKL088W,24,5,1,937,961
YKL088W,26,5,2,966,992
YKL088W,61,5,3,1221,1282
YKL088W,18,5,4,1310,1328
YKL088W,25,5,5,1361,1386
YDR465C,47,1,1,1154,1201
YLR276C,27,4,1,1374,1401
YLR276C,39,4,2,1416,1455
YLR276C,36,4,3,1473,1509
YLR276C,19,4,4,1567,1586
YFR044C,66,5,1,230,296
YFR044C,15,5,2,443,458
YFR044C,16,5,3,462,478
YFR044C,48,5,4,1287,1335
YFR044C,39,5,5,1373,1412
YIL103W,64,2,1,556,620
YIL103W,35,2,2,759,794
YBR269C,21,1,1,210,231
YDR283C,36,13,1,263,299
YDR283C,24,13,2,321,345
YDR283C,31,13,3,791,822
YDR283C,154,13,4,866,1020
YDR283C,20,13,5,1131,1151
YDR283C,23,13,6,1152,1175
YDR283C,16,13,7,1182,1198
YDR283C,27,13,8,1434,1461
YDR283C,26,13,9,2107,2133
YDR283C,49,13,10,2431,2480
YDR283C,40,13,11,2467,2507
YDR283C,24,13,12,2690,2714
YDR283C,16,13,13,3752,3768
YBR192W,15,3,1,791,806
YBR192W,35,3,2,810,845
YBR192W,54,3,3,1070,1124
YER007C-A,59,1,1,300,359
YNR022C,45,3,1,213,258
YNR022C,16,3,2,273,289
YNR022C,35,3,3,293,328
YLR256W,27,4,1,1065,1092
YLR256W,38,4,2,2906,2944
YLR256W,20,4,3,3295,3315
YLR256W,16,4,4,3533,3549
YBR125C,28,5,1,309,337
YBR125C,17,5,2,338,355
YBR125C,37,5,3,667,704
YBR125C,23,5,4,711,734
YBR125C,15,5,5,864,879
YCL043C,88,1,1,315,403
YBR221C,68,6,1,195,263
YBR221C,39,6,2,444,483
YBR221C,30,6,3,711,741
YBR221C,21,6,4,745,766
YBR221C,47,6,5,772,819
YBR221C,106,6,6,917,1023
YAL005C,21,17,1,228,249
YAL005C,24,17,2,263,287
YAL005C,20,17,3,347,367
YAL005C,24,17,4,368,392
YAL005C,19,17,5,432,451
YAL005C,23,17,6,452,475
YAL005C,128,17,7,487,615
YAL005C,21,17,8,684,705
YAL005C,112,17,9,747,859
YAL005C,61,17,10,860,921
YAL005C,35,17,11,973,1008
YAL005C,48,17,12,1023,1071
YAL005C,30,17,13,1128,1158
YAL005C,81,17,14,1160,1241
YAL005C,22,17,15,1304,1326
YAL005C,53,17,16,1327,1380
YAL005C,32,17,17,1455,1487
YGR074W,32,2,1,271,303
YGR074W,15,2,2,304,319
YNL166C,16,2,1,1160,1176
YNL166C,42,2,2,1270,1312
YJR056C,35,2,1,456,491
YJR056C,24,2,2,687,711
YPL158C,15,5,1,822,837
YPL158C,18,5,2,1259,1277
YPL158C,68,5,3,1597,1665
YPL158C,17,5,4,1716,1733
YPL158C,16,5,5,2248,2264
YJL121C,23,5,1,305,328
YJL121C,35,5,2,460,495
YJL121C,17,5,3,503,520
YJL121C,44,5,4,524,568
YJL121C,19,5,5,657,676
YKL008C,31,2,1,194,225
YKL008C,29,2,2,215,244
YJL167W,41,3,1,246,287
YJL167W,60,3,2,449,509
YJL167W,36,3,3,728,764
YPL069C,25,1,1,945,970
YBR103W,56,3,1,794,850
YBR103W,17,3,2,852,869
YBR103W,34,3,3,1342,1376
YIL145C,19,1,1,516,535
YGL216W,67,5,1,166,233
YGL216W,28,5,2,235,263
YGL216W,20,5,3,299,319
YGL216W,17,5,4,386,403
YGL216W,32,5,5,531,563
YPL032C,23,19,1,488,511
YPL032C,19,19,2,762,781
YPL032C,28,19,3,885,913
YPL032C,25,19,4,1154,1179
YPL032C,16,19,5,1351,1367
YPL032C,16,19,6,1369,1385
YPL032C,15,19,7,1567,1582
YPL032C,27,19,8,1664,1691
YPL032C,32,19,9,1808,1840
YPL032C,17,19,10,1874,1891
YPL032C,22,19,11,1898,1920
YPL032C,126,19,12,1962,2088
YPL032C,15,19,13,2092,2107
YPL032C,54,19,14,2112,2166
YPL032C,52,19,15,2183,2235
YPL032C,22,19,16,2275,2297
YPL032C,61,19,17,2298,2359
YPL032C,17,19,18,2402,2419
YPL032C,40,19,19,2411,2451
YLR194C,24,4,1,357,381
YLR194C,45,4,2,393,438
YLR194C,18,4,3,499,517
YLR194C,27,4,4,555,582
YKL179C,36,3,1,863,899
YKL179C,15,3,2,1206,1221
YKL179C,15,3,3,2004,2019
YJL145W,50,3,1,315,365
YJL145W,19,3,2,409,428
YJL145W,22,3,3,560,582
YJL201W,25,8,1,451,476
YJL201W,44,8,2,464,508
YJL201W,25,8,3,672,697
YJL201W,50,8,4,894,944
YJL201W,32,8,5,1124,1156
YJL201W,18,8,6,1325,1343
YJL201W,34,8,7,1412,1446
YJL201W,32,8,8,1485,1517
YLR314C,189,7,1,462,651
YLR314C,17,7,2,659,676
YLR314C,31,7,3,680,711
YLR314C,43,7,4,720,763
YLR314C,29,7,5,752,781
YLR314C,61,7,6,887,948
YLR314C,37,7,7,1231,1268
YLR153C,100,12,1,213,313
YLR153C,20,12,2,318,338
YLR153C,45,12,3,410,455
YLR153C,17,12,4,610,627
YLR153C,22,12,5,713,735
YLR153C,36,12,6,888,924
YLR153C,19,12,7,1125,1144
YLR153C,33,12,8,1235,1268
YLR153C,44,12,9,1414,1458
YLR153C,29,12,10,1820,1849
YLR153C,15,12,11,1890,1905
YLR153C,25,12,12,1906,1931
YKL040C,68,2,1,613,681
YKL040C,28,2,2,740,768
YLR249W,46,14,1,485,531
YLR249W,31,14,2,677,708
YLR249W,29,14,3,772,801
YLR249W,220,14,4,904,1124
YLR249W,64,14,5,1273,1337
YLR249W,22,14,6,1493,1515
YLR249W,38,14,7,1532,1570
YLR249W,19,14,8,1891,1910
YLR249W,90,14,9,1914,2004
YLR249W,58,14,10,2107,2165
YLR249W,39,14,11,2798,2837
YLR249W,42,14,12,2843,2885
YLR249W,33,14,13,2935,2968
YLR249W,75,14,14,3016,3091
YNL004W,51,6,1,219,270
YNL004W,18,6,2,272,290
YNL004W,45,6,3,308,353
YNL004W,33,6,4,391,424
YNL004W,21,6,5,602,623
YNL004W,17,6,6,878,895
YOL139C,46,2,1,311,357
YOL139C,38,2,2,452,490
YBR207W,34,1,1,499,533
YDR184C,34,2,1,692,726
YDR184C,18,2,2,727,745
YCR043C,41,2,1,261,302
YCR043C,58,2,2,315,373
YKL210W,26,11,1,304,330
YKL210W,20,11,2,761,781
YKL210W,34,11,3,860,894
YKL210W,33,11,4,1001,1034
YKL210W,26,11,5,1050,1076
YKL210W,142,11,6,1774,1916
YKL210W,60,11,7,1923,1983
YKL210W,69,11,8,1993,2062
YKL210W,39,11,9,2184,2223
YKL210W,15,11,10,2344,2359
YKL210W,28,11,11,2948,2976
YOR278W,51,2,1,530,581
YOR278W,39,2,2,771,810
YNL085W,25,13,1,586,611
YNL085W,24,13,2,622,646
YNL085W,94,13,3,649,743
YNL085W,33,13,4,845,878
YNL085W,23,13,5,1121,1144
YNL085W,22,13,6,1150,1172
YNL085W,28,13,7,1342,1370
YNL085W,80,13,8,1549,1629
YNL085W,19,13,9,1747,1766
YNL085W,16,13,10,1771,1787
YNL085W,30,13,11,1961,1991
YNL085W,19,13,12,1992,2011
YNL085W,34,13,13,2172,2206
YDR394W,44,5,1,508,552
YDR394W,26,5,2,759,785
YDR394W,74,5,3,792,866
YDR394W,16,5,4,880,896
YDR394W,24,5,5,897,921
YPL210C,94,9,1,201,295
YPL210C,16,9,2,296,312
YPL210C,21,9,3,315,336
YPL210C,28,9,4,508,536
YPL210C,15,9,5,1100,1115
YPL210C,48,9,6,1125,1173
YPL210C,47,9,7,1454,1501
YPL210C,31,9,8,1515,1546
YPL210C,46,9,9,1730,1776
YOR087W,27,3,1,229,256
YOR087W,40,3,2,487,527
YOR087W,19,3,3,574,593
YKL057C,37,16,1,357,394
YKL057C,25,16,2,534,559
YKL057C,21,16,3,577,598
YKL057C,43,16,4,618,661
YKL057C,87,16,5,855,942
YKL057C,21,16,6,1005,1026
YKL057C,31,16,7,1145,1176
YKL057C,25,16,8,1177,1202
YKL057C,31,16,9,1463,1494
YKL057C,49,16,10,1521,1570
YKL057C,41,16,11,2185,2226
YKL057C,19,16,12,2360,2379
YKL057C,35,16,13,2644,2679
YKL057C,22,16,14,2841,2863
YKL057C,22,16,15,2882,2904
YKL057C,19,16,16,3035,3054
YIL114C,39,1,1,745,784
YGL234W,17,4,1,361,378
YGL234W,25,4,2,1022,1047
YGL234W,40,4,3,1560,1600
YGL234W,35,4,4,2186,2221
YOL082W,15,6,1,397,412
YOL082W,27,6,2,667,694
YOL082W,24,6,3,980,1004
YOL082W,35,6,4,996,1031
YOL082W,19,6,5,1071,1090
YOL082W,30,6,6,1084,1114
YOL155C,21,1,1,2760,2781
YNL108C,24,2,1,459,483
YNL108C,38,2,2,570,608
YFR053C,51,3,1,945,996
YFR053C,48,3,2,1126,1174
YFR053C,27,3,3,1311,1338
YMR301C,34,1,1,320,354
YGR186W,82,8,1,545,627
YGR186W,21,8,2,630,651
YGR186W,53,8,3,641,694
YGR186W,27,8,4,1173,1200
YGR186W,57,8,5,1363,1420
YGR186W,22,8,6,1443,1465
YGR186W,55,8,7,1787,1842
YGR186W,40,8,8,1979,2019
YDR294C,23,2,1,929,952
YDR294C,32,2,2,1578,1610
YFR002W,29,2,1,1320,1349
YFR002W,18,2,2,1774,1792
YJL217W,34,2,1,238,272
YJL217W,26,2,2,334,360
YOR027W,51,4,1,337,388
YOR027W,42,4,2,1121,1163
YOR027W,94,4,3,1364,1458
YOR027W,127,4,4,1489,1616
YDR325W,42,6,1,509,551
YDR325W,24,6,2,1004,1028
YDR325W,27,6,3,1114,1141
YDR325W,30,6,4,2272,2302
YDR325W,25,6,5,2458,2483
YDR325W,17,6,6,2489,2506
YBR181C,46,4,1,200,246
YBR181C,30,4,2,233,263
YBR181C,88,4,3,330,418
YBR181C,16,4,4,560,576
YMR188C,40,2,1,185,225
YMR188C,34,2,2,267,301
YNL131W,37,1,1,399,436
YLR226W,28,3,1,438,466
YLR226W,59,3,2,507,566
YLR226W,36,3,3,835,871
YOR243C,40,1,1,955,995
YER022W,23,4,1,1094,1117
YER022W,31,4,2,1305,1336
YER022W,24,4,3,1678,1702
YER022W,26,4,4,1766,1792
YDR041W,25,1,1,206,231
YGL047W,30,2,1,242,272
YGL047W,17,2,2,322,339
YKR070W,39,1,1,942,981
YMR205C,66,12,1,188,254
YMR205C,34,12,2,443,477
YMR205C,39,12,3,702,741
YMR205C,115,12,4,804,919
YMR205C,45,12,5,942,987
YMR205C,21,12,6,1641,1662
YMR205C,65,12,7,1739,1804
YMR205C,42,12,8,1872,1914
YMR205C,52,12,9,2035,2087
YMR205C,27,12,10,2099,2126
YMR205C,56,12,11,2412,2468
YMR205C,86,12,12,2667,2753
YCR005C,38,4,1,630,668
YCR005C,82,4,2,669,751
YCR005C,43,4,3,753,796
YCR005C,65,4,4,1127,1192
YER164W,34,11,1,839,873
YER164W,25,11,2,1060,1085
YER164W,33,11,3,1118,1151
YER164W,47,11,4,1239,1286
YER164W,23,11,5,1909,1932
YER164W,22,11,6,2568,2590
YER164W,23,11,7,2826,2849
YER164W,15,11,8,2893,2908
YER164W,45,11,9,2912,2957
YER164W,32,11,10,3385,3417
YER164W,38,11,11,3435,3473
YML017W,35,1,1,547,582
YHR037W,50,5,1,231,281
YHR037W,24,5,2,482,506
YHR037W,52,5,3,736,788
YHR037W,24,5,4,898,922
YHR037W,47,5,5,1151,1198
YOR274W,47,1,1,709,756
YBL051C,16,1,1,1742,1758
YLR089C,29,8,1,224,253
YLR089C,25,8,2,335,360
YLR089C,19,8,3,392,411
YLR089C,17,8,4,416,433
YLR089C,21,8,5,954,975
YLR089C,29,8,6,1101,1130
YLR089C,33,8,7,1427,1460
YLR089C,48,8,8,1508,1556
YNL080C,16,1,1,380,396
YGL028C,19,1,1,187,206
YPR048W,15,4,1,1096,1111
YPR048W,56,4,2,1286,1342
YPR048W,32,4,3,1635,1667
YPR048W,23,4,4,1794,1817
YBL027W,25,1,1,316,341
YHL013C,25,2,1,323,348
YHL013C,48,2,2,767,815
YOL060C,31,2,1,2042,2073
YOL060C,20,2,2,2081,2101
YGR009C,27,4,1,165,192
YGR009C,19,4,2,1001,1020
YGR009C,28,4,3,1023,1051
YGR009C,47,4,4,1662,1709
YGL105W,25,3,1,239,264
YGL105W,16,3,2,887,903
YGL105W,24,3,3,904,928
YDL076C,49,5,1,386,435
YDL076C,30,5,2,440,470
YDL076C,39,5,3,477,516
YDL076C,18,5,4,534,552
YDL076C,29,5,5,617,646
YDR120C,108,4,1,350,458
YDR120C,17,4,2,460,477
YDR120C,15,4,3,878,893
YDR120C,24,4,4,1462,1486
YER126C,20,3,1,202,222
YER126C,15,3,2,572,587
YER126C,30,3,3,728,758
YMR227C,33,1,1,702,735
YHR117W,21,5,1,528,549
YHR117W,17,5,2,570,587
YHR117W,52,5,3,1474,1526
YHR117W,28,5,4,1531,1559
YHR117W,42,5,5,1835,1877
YPL221W,18,1,1,152,170
YBL047C,15,3,1,561,576
YBL047C,27,3,2,623,650
YBL047C,21,3,3,664,685
YOR315W,21,12,1,245,266
YOR315W,18,12,2,290,308
YOR315W,17,12,3,310,327
YOR315W,47,12,4,366,413
YOR315W,19,12,5,418,437
YOR315W,78,12,6,554,632
YOR315W,35,12,7,661,696
YOR315W,45,12,8,701,746
YOR315W,42,12,9,752,794
YOR315W,26,12,10,835,861
YOR315W,39,12,11,937,976
YOR315W,43,12,12,983,1026
YEL051W,107,2,1,411,518
YEL051W,50,2,2,549,599
YOL004W,36,7,1,274,310
YOL004W,15,7,2,2126,2141
YOL004W,74,7,3,2808,2882
YOL004W,36,7,4,3662,3698
YOL004W,33,7,5,4084,4117
YOL004W,20,7,6,4132,4152
YOL004W,31,7,7,4158,4189
YGR014W,30,1,1,314,344
YGL050W,34,1,1,536,570
YDL036C,40,3,1,476,516
YDL036C,25,3,2,1136,1161
YDL036C,38,3,3,1326,1364
YMR032W,34,5,1,1157,1191
YMR032W,27,5,2,1199,1226
YMR032W,21,5,3,1738,1759
YMR032W,29,5,4,1824,1853
YMR032W,23,5,5,1925,1948
YMR150C,24,1,1,354,378
YFL007W,26,29,1,204,230
YFL007W,28,29,2,280,308
YFL007W,23,29,3,344,367
YFL007W,37,29,4,445,482
YFL007W,36,29,5,483,519
YFL007W,39,29,6,1178,1217
YFL007W,32,29,7,1204,1236
YFL007W,85,29,8,1274,1359
YFL007W,16,29,9,1367,1383
YFL007W,19,29,10,1497,1516
YFL007W,30,29,11,1621,1651
YFL007W,18,29,12,1652,1670
YFL007W,21,29,13,1940,1961
YFL007W,21,29,14,2928,2949
YFL007W,21,29,15,2954,2975
YFL007W,21,29,16,2976,2997
YFL007W,15,29,17,2999,3014
YFL007W,20,29,18,3233,3253
YFL007W,43,29,19,3612,3655
YFL007W,41,29,20,3660,3701
YFL007W,15,29,21,3911,3926
YFL007W,22,29,22,3927,3949
YFL007W,17,29,23,4100,4117
YFL007W,55,29,24,4114,4169
YFL007W,43,29,25,4555,4598
YFL007W,15,29,26,5196,5211
YFL007W,39,29,27,5882,5921
YFL007W,20,29,28,5997,6017
YFL007W,47,29,29,6141,6188
YKR045C,30,1,1,432,462
YPL099C,27,2,1,210,237
YPL099C,23,2,2,526,549
YCR012W,39,6,1,278,317
YCR012W,76,6,2,341,417
YCR012W,25,6,3,439,464
YCR012W,31,6,4,556,587
YCR012W,15,6,5,912,927
YCR012W,45,6,6,1025,1070
YGL026C,47,13,1,348,395
YGL026C,30,13,2,416,446
YGL026C,57,13,3,522,579
YGL026C,68,13,4,1244,1312
YGL026C,41,13,5,1527,1568
YGL026C,61,13,6,1616,1677
YGL026C,40,13,7,1757,1797
YGL026C,17,13,8,1821,1838
YGL026C,26,13,9,1841,1867
YGL026C,64,13,10,1875,1939
YGL026C,18,13,11,1948,1966
YGL026C,51,13,12,1953,2004
YGL026C,28,13,13,2096,2124
YMR072W,32,2,1,244,276
YMR072W,37,2,2,343,380
YNL045W,34,7,1,393,427
YNL045W,16,7,2,612,628
YNL045W,15,7,3,985,1000
YNL045W,37,7,4,998,1035
YNL045W,64,7,5,1383,1447
YNL045W,30,7,6,1630,1660
YNL045W,35,7,7,1842,1877
YMR310C,55,1,1,476,531
YHR191C,47,1,1,349,396
YDR354W,23,1,1,353,376
YDR301W,19,6,1,1380,1399
YDR301W,49,6,2,2124,2173
YDR301W,26,6,3,2174,2200
YDR301W,33,6,4,2801,2834
YDR301W,15,6,5,3479,3494
YDR301W,16,6,6,3523,3539
YJL053W,53,4,1,322,375
YJL053W,24,4,2,381,405
YJL053W,135,4,3,479,614
YJL053W,44,4,4,605,649
YGR214W,78,3,1,363,441
YGR214W,36,3,2,531,567
YGR214W,81,3,3,676,757
YCR083W,43,2,1,175,218
YCR083W,118,2,2,266,384
YMR143W,52,1,1,374,426
YOR151C,29,18,1,678,707
YOR151C,87,18,2,884,971
YOR151C,35,18,3,972,1007
YOR151C,26,18,4,1055,1081
YOR151C,33,18,5,1662,1695
YOR151C,56,18,6,1894,1950
YOR151C,26,18,7,1951,1977
YOR151C,25,18,8,1984,2009
YOR151C,46,18,9,2010,2056
YOR151C,17,18,10,2077,2094
YOR151C,15,18,11,2423,2438
YOR151C,35,18,12,2619,2654
YOR151C,35,18,13,3016,3051
YOR151C,82,18,14,3070,3152
YOR151C,30,18,15,3183,3213
YOR151C,26,18,16,3208,3234
YOR151C,71,18,17,3397,3468
YOR151C,25,18,18,3471,3496
YML028W,27,1,1,255,282
YLL001W,16,3,1,1405,1421
YLL001W,24,3,2,1502,1526
YLL001W,22,3,3,1599,1621
YOR168W,31,7,1,515,546
YOR168W,58,7,2,905,963
YOR168W,35,7,3,1249,1284
YOR168W,31,7,4,1498,1529
YOR168W,34,7,5,1793,1827
YOR168W,88,7,6,1902,1990
YOR168W,22,7,7,2247,2269
YNL189W,29,8,1,445,474
YNL189W,51,8,2,518,569
YNL189W,31,8,3,691,722
YNL189W,29,8,4,1000,1029
YNL189W,23,8,5,1037,1060
YNL189W,25,8,6,1072,1097
YNL189W,22,8,7,1322,1344
YNL189W,24,8,8,1421,1445
YMR027W,61,7,1,586,647
YMR027W,17,7,2,693,710
YMR027W,18,7,3,851,869
YMR027W,51,7,4,945,996
YMR027W,57,7,5,1000,1057
YMR027W,17,7,6,1285,1302
YMR027W,69,7,7,1342,1411
YPR173C,18,2,1,687,705
YPR173C,35,2,2,1003,1038
YJL031C,31,3,1,600,631
YJL031C,16,3,2,707,723
YJL031C,102,3,3,795,897
YER068W,28,6,1,458,486
YER068W,53,6,2,621,674
YER068W,15,6,3,1119,1134
YER068W,46,6,4,1588,1634
YER068W,41,6,5,1705,1746
YER068W,27,6,6,1735,1762
YMR269W,19,2,1,563,582
YMR269W,22,2,2,604,626
YKL053C-A,18,2,1,204,222
YKL053C-A,17,2,2,236,253
YLR043C,70,1,1,215,285
YJL008C,43,4,1,611,654
YJL008C,30,4,2,839,869
YJL008C,74,4,3,1465,1539
YJL008C,34,4,4,1541,1575
YDL018C,47,1,1,137,184
YML060W,36,1,1,672,708
YJR062C,19,4,1,355,374
YJR062C,43,4,2,500,543
YJR062C,36,4,3,649,685
YJR062C,19,4,4,1252,1271
YGL067W,27,11,1,155,182
YGL067W,20,11,2,201,221
YGL067W,30,11,3,209,239
YGL067W,83,11,4,263,346
YGL067W,18,11,5,353,371
YGL067W,33,11,6,508,541
YGL067W,55,11,7,816,871
YGL067W,30,11,8,864,894
YGL067W,40,11,9,900,940
YGL067W,30,11,10,932,962
YGL067W,15,11,11,980,995
YDL156W,43,6,1,835,878
YDL156W,24,6,2,1187,1211
YDL156W,33,6,3,1238,1271
YDL156W,16,6,4,1279,1295
YDL156W,22,6,5,1468,1490
YDL156W,17,6,6,1541,1558
YMR191W,15,4,1,280,295
YMR191W,45,4,2,593,638
YMR191W,17,4,3,919,936
YMR191W,32,4,4,978,1010
YPR073C,45,2,1,191,236
YPR073C,67,2,2,338,405
YML035C,72,11,1,722,794
YML035C,26,11,2,851,877
YML035C,25,11,3,1088,1113
YML035C,26,11,4,1138,1164
YML035C,15,11,5,1165,1180
YML035C,17,11,6,1182,1199
YML035C,28,11,7,1304,1332
YML035C,49,11,8,1484,1533
YML035C,36,11,9,1654,1690
YML035C,26,11,10,2313,2339
YML035C,48,11,11,2385,2433
YNL181W,142,9,1,214,356
YNL181W,30,9,2,410,440
YNL181W,22,9,3,469,491
YNL181W,23,9,4,492,515
YNL181W,24,9,5,704,728
YNL181W,22,9,6,962,984
YNL181W,23,9,7,992,1015
YNL181W,32,9,8,1016,1048
YNL181W,36,9,9,1054,1090
YHL039W,29,6,1,419,448
YHL039W,29,6,2,476,505
YHL039W,27,6,3,569,596
YHL039W,30,6,4,652,682
YHL039W,21,6,5,1202,1223
YHL039W,66,6,6,1350,1416
YDL136W,18,2,1,154,172
YDL136W,37,2,2,232,269
YCR090C,33,2,1,262,295
YCR090C,69,2,2,423,492
YKL056C,70,1,1,383,453
YAL060W,53,8,1,651,704
YAL060W,29,8,2,735,764
YAL060W,35,8,3,765,800
YAL060W,31,8,4,848,879
YAL060W,20,8,5,935,955
YAL060W,74,8,6,960,1034
YAL060W,23,8,7,1037,1060
YAL060W,16,8,8,1063,1079
YKL009W,42,3,1,175,217
YKL009W,30,3,2,461,491
YKL009W,22,3,3,503,525
YIL144W,15,1,1,887,902
YOR124C,42,15,1,706,748
YOR124C,22,15,2,770,792
YOR124C,25,15,3,1335,1360
YOR124C,62,15,4,1378,1440
YOR124C,39,15,5,1620,1659
YOR124C,18,15,6,1703,1721
YOR124C,30,15,7,1759,1789
YOR124C,26,15,8,1840,1866
YOR124C,30,15,9,1895,1925
YOR124C,24,15,10,2410,2434
YOR124C,26,15,11,2580,2606
YOR124C,43,15,12,3074,3117
YOR124C,20,15,13,3122,3142
YOR124C,16,15,14,3245,3261
YOR124C,18,15,15,3300,3318
YKR056W,93,7,1,1102,1195
YKR056W,18,7,2,1209,1227
YKR056W,20,7,3,1242,1262
YKR056W,45,7,4,1321,1366
YKR056W,158,7,5,1427,1585
YKR056W,32,7,6,1594,1626
YKR056W,25,7,7,1630,1655
YJR057W,17,1,1,314,331
YJL126W,21,1,1,659,680
YKL150W,78,3,1,414,492
YKL150W,21,3,2,614,635
YKL150W,39,3,3,781,820
YHR063C,49,4,1,435,484
YHR063C,29,4,2,477,506
YHR063C,51,4,3,696,747
YHR063C,21,4,4,829,850
YJL200C,54,12,1,359,413
YJL200C,58,12,2,893,951
YJL200C,17,12,3,1321,1338
YJL200C,21,12,4,1351,1372
YJL200C,32,12,5,1406,1438
YJL200C,23,12,6,1485,1508
YJL200C,20,12,7,1621,1641
YJL200C,34,12,8,1641,1675
YJL200C,24,12,9,1680,1704
YJL200C,16,12,10,1883,1899
YJL200C,46,12,11,1917,1963
YJL200C,75,12,12,2181,2256
YGL211W,32,3,1,487,519
YGL211W,36,3,2,804,840
YGL211W,15,3,3,973,988
YPL195W,20,11,1,353,373
YPL195W,28,11,2,586,614
YPL195W,25,11,3,623,648
YPL195W,25,11,4,926,951
YPL195W,24,11,5,1121,1145
YPL195W,15,11,6,1427,1442
YPL195W,19,11,7,1798,1817
YPL195W,18,11,8,1820,1838
YPL195W,19,11,9,1924,1943
YPL195W,31,11,10,1935,1966
YPL195W,18,11,11,2562,2580
YNL107W,30,3,1,231,261
YNL107W,18,3,2,311,329
YNL107W,20,3,3,339,359
YNL067W,86,1,1,190,276
YLR438W,18,2,1,236,254
YLR438W,24,2,2,608,632
YDR376W,18,4,1,271,289
YDR376W,15,4,2,304,319
YDR376W,29,4,3,800,829
YDR376W,38,4,4,1002,1040
YNL007C,34,2,1,140,174
YNL007C,26,2,2,1033,1059
YKL096W,19,2,1,325,344
YKL096W,35,2,2,522,557
YDR089W,31,4,1,236,267
YDR089W,24,4,2,532,556
YDR089W,16,4,3,599,615
YDR089W,29,4,4,1976,2005
YKL014C,24,9,1,282,306
YKL014C,31,9,2,524,555
YKL014C,34,9,3,2174,2208
YKL014C,24,9,4,2540,2564
YKL014C,32,9,5,2616,2648
YKL014C,16,9,6,3526,3542
YKL014C,32,9,7,4329,4361
YKL014C,15,9,8,4478,4493
YKL014C,18,9,9,4644,4662
YDR129C,47,5,1,934,981
YDR129C,33,5,2,1017,1050
YDR129C,29,5,3,1051,1080
YDR129C,39,5,4,1158,1197
YDR129C,31,5,5,1205,1236
YPR119W,33,1,1,866,899
YDR378C,47,1,1,208,255
YBL086C,16,3,1,362,378
YBL086C,21,3,2,1089,1110
YBL086C,15,3,3,1112,1127
YKR029C,48,4,1,1092,1140
YKR029C,60,4,2,1142,1202
YKR029C,17,4,3,1219,1236
YKR029C,30,4,4,1777,1807
YGL191W,20,2,1,281,301
YGL191W,44,2,2,308,352
YJL104W,23,1,1,322,345
YPL019C,46,5,1,335,381
YPL019C,51,5,2,779,830
YPL019C,22,5,3,1325,1347
YPL019C,27,5,4,1382,1409
YPL019C,15,5,5,1506,1521
YGR233C,32,11,1,643,675
YGR233C,28,11,2,1761,1789
YGR233C,40,11,3,1778,1818
YGR233C,52,11,4,1841,1893
YGR233C,28,11,5,2064,2092
YGR233C,21,11,6,2306,2327
YGR233C,48,11,7,2333,2381
YGR233C,18,11,8,2711,2729
YGR233C,19,11,9,3002,3021
YGR233C,21,11,10,3044,3065
YGR233C,75,11,11,3462,3537
YJL168C,55,2,1,1251,1306
YJL168C,25,2,2,1561,1586
YDR145W,20,3,1,249,269
YDR145W,18,3,2,929,947
YDR145W,33,3,3,1573,1606
YFL009W,29,10,1,236,265
YFL009W,30,10,2,1253,1283
YFL009W,21,10,3,1361,1382
YFL009W,17,10,4,1898,1915
YFL009W,33,10,5,1919,1952
YFL009W,49,10,6,2019,2068
YFL009W,23,10,7,2081,2104
YFL009W,40,10,8,2126,2166
YFL009W,20,10,9,2167,2187
YFL009W,33,10,10,2264,2297
YDL174C,20,4,1,208,228
YDL174C,28,4,2,305,333
YDL174C,19,4,3,1123,1142
YDL174C,15,4,4,1143,1158
YER091C,28,6,1,261,289
YER091C,102,6,2,1336,1438
YER091C,28,6,3,1439,1467
YER091C,18,6,4,1486,1504
YER091C,18,6,5,1506,1524
YER091C,210,6,6,1695,1905
YIR024C,22,1,1,266,288
YDL103C,27,7,1,295,322
YDL103C,51,7,2,432,483
YDL103C,31,7,3,647,678
